u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name,width,bridge,access,maxspeed
6640642462,7524554142,0,"[1029860978, 804466941, 804466942]",cycleway,False,True,73.72578416237694,"LINESTRING (2.0220066 41.3176961, 2.0220445 41.317704, 2.0221048 41.317711, 2.0222239 41.3173135, 2.0223489 41.3172558, 2.022423 41.3172133)",,,,,,
7232459528,7833220370,0,"[680290112, 1227696142, 1227696143, 1107267316, 775212153, 680290111]",cycleway,False,"[False, True]",125.80840226802512,"LINESTRING (2.0263826 41.3083086, 2.0263688 41.3083314, 2.0263443 41.3083721, 2.0263413 41.3083769, 2.0263244 41.3084005, 2.0258119 41.3090056, 2.0257122 41.3091086, 2.0256845 41.3091372, 2.0257099 41.3091523, 2.0257291 41.3091636, 2.0257596 41.3091817, 2.0257911 41.3092003, 2.025841 41.3092299)",,,,yes,,
7232459528,7833220378,0,"[839429961, 939689282, 680290110, 680290111]",cycleway,False,True,516.5065875039958,"LINESTRING (2.0263826 41.3083086, 2.0264205 41.3082398, 2.026446 41.3081986, 2.026515 41.3082222, 2.0265384 41.3082243, 2.0265613 41.308223, 2.0265843 41.3082184, 2.0266051 41.3082115, 2.0266215 41.3082043, 2.026634 41.3081943, 2.0266655 41.3081576, 2.0267008 41.3081165, 2.027183 41.3075428, 2.0272326 41.3074803, 2.0272384 41.3074429, 2.0272322 41.3074074, 2.0272152 41.3073727, 2.0272115 41.3073345, 2.0272135 41.3072986, 2.0272687 41.3071706, 2.0272433 41.3071386, 2.0272908 41.3071175, 2.0273787 41.3070784, 2.027421 41.3070573, 2.027366 41.3069907, 2.0271466 41.306696, 2.0268801 41.3063391, 2.0266301 41.3060382, 2.0263578 41.3057098, 2.0261992 41.3055238, 2.0259137 41.3051951, 2.0257001 41.3049567, 2.0252798 41.3045111)",,,,,,
7232459528,9450394829,0,775212181,cycleway,False,False,757.0858666562891,"LINESTRING (2.0263826 41.3083086, 2.0263183 41.3082857, 2.025723 41.3080732, 2.0248819 41.3077854, 2.0243657 41.3076106, 2.0230312 41.3071586, 2.0226419 41.3070268, 2.0225682 41.3070018, 2.0212503 41.3065413, 2.0211373 41.3065018, 2.0204828 41.3062728, 2.0204556 41.3062633, 2.0200701 41.3061283, 2.0199658 41.3060918, 2.0190867 41.3057955, 2.018145 41.3054688)",2,,,,,
7524420478,7524420483,0,804454197,cycleway,False,True,85.01123891318414,"LINESTRING (2.0164607 41.3116605, 2.0163172 41.3117515, 2.0162928 41.3117753, 2.016328 41.3118255, 2.0163291 41.3118571, 2.0162978 41.3118891, 2.015943 41.3122706)",,,,,,
7524420478,10207212436,0,1115987201,cycleway,False,False,89.59645048081623,"LINESTRING (2.0164607 41.3116605, 2.0163728 41.311575, 2.0158063 41.3110338, 2.0157992 41.3110262)",2,Avinguda de la Generalitat,2,,,
7524420478,9781413839,0,"[1192906939, 1065108741]",cycleway,False,"[False, True]",33.02552097877475,"LINESTRING (2.0164607 41.3116605, 2.0165624 41.3117663, 2.0166403 41.3118121, 2.0167152 41.3118722, 2.0167231 41.3118801)",2,Avinguda de la Generalitat,2,,,
7524420481,7524420482,0,"[804454200, 804454201]",cycleway,False,"[False, True]",259.9342110085852,"LINESTRING (2.0155939 41.3126401, 2.0147839 41.3135568, 2.0148632 41.313565, 2.0149217 41.3135935, 2.0149796 41.3136268, 2.01558 41.3129411, 2.0157655 41.3127342)",,,,,,
7524420482,7524420481,0,"[804454200, 804454201]",cycleway,False,"[False, True]",259.9342110085852,"LINESTRING (2.0157655 41.3127342, 2.01558 41.3129411, 2.0149796 41.3136268, 2.0149217 41.3135935, 2.0148632 41.313565, 2.0147839 41.3135568, 2.0155939 41.3126401)",,,,,,
7524420483,7524420478,0,804454197,cycleway,False,False,85.01123891318416,"LINESTRING (2.015943 41.3122706, 2.0162978 41.3118891, 2.0163291 41.3118571, 2.016328 41.3118255, 2.0162928 41.3117753, 2.0163172 41.3117515, 2.0164607 41.3116605)",,,,,,
7524420484,9781413839,0,804454198,cycleway,False,True,79.66863214378515,"LINESTRING (2.0160984 41.3123724, 2.0164257 41.3120312, 2.0164826 41.3119719, 2.0165131 41.3119455, 2.0165728 41.3119429, 2.0165992 41.3119541, 2.0166745 41.3119203, 2.0167231 41.3118801)",,,,,,
7524458045,7833252105,0,804459233,cycleway,False,True,362.93827264021655,"LINESTRING (2.0253115 41.3128624, 2.0253251 41.3128486, 2.0278971 41.3102391)",,,2,,,
