osmid,y,x,street_count,highway,ref,geometry
2187128539,41.3239473,2.0152352,2,crossing,,POINT (2.0152352 41.3239473)
2195497119,41.3215369,2.0211759,2,,,POINT (2.0211759 41.3215369)
2209582609,41.2869268,2.0673444,2,,,POINT (2.0673444 41.2869268)
2209582610,41.286927,2.0673321,2,,,POINT (2.0673321 41.286927)
2209582611,41.2869291,2.0673556,2,,,POINT (2.0673556 41.2869291)
2209582612,41.2869301,2.067321,2,,,POINT (2.067321 41.2869301)
2209582615,41.2869339,2.0673651,2,,,POINT (2.0673651 41.2869339)
2209582720,41.2874386,2.0662961,2,,,POINT (2.0662961 41.2874386)
2209582935,41.2882549,2.0646075,2,,,POINT (2.0646075 41.2882549)
2209582967,41.2883971,2.0642738,2,,,POINT (2.0642738 41.2883971)
2209583090,41.2890071,2.0631528,2,,,POINT (2.0631528 41.2890071)
2209583139,41.289692,2.0618181,2,,,POINT (2.0618181 41.289692)
2209583141,41.2897571,2.0616881,2,,,POINT (2.0616881 41.2897571)
2209583144,41.2897886,2.0616404,2,,,POINT (2.0616404 41.2897886)
2209583152,41.2898331,2.0615928,2,,,POINT (2.0615928 41.2898331)
2209583153,41.2898645,2.0615538,2,,,POINT (2.0615538 41.2898645)
2209583155,41.2899101,2.0614888,2,,,POINT (2.0614888 41.2899101)
2209583176,41.2900808,2.0611619,2,,,POINT (2.0611619 41.2900808)
2216908689,41.2914954,2.0555017,2,crossing,,POINT (2.0555017 41.2914954)
2216908724,41.2915775,2.0553676,2,crossing,,POINT (2.0553676 41.2915775)
2216977209,41.2902211,2.0608827,2,,,POINT (2.0608827 41.2902211)
2216977213,41.2903432,2.0606556,2,,,POINT (2.0606556 41.2903432)
2216977224,41.2905543,2.0602695,2,,,POINT (2.0602695 41.2905543)
2216977225,41.2906056,2.0601966,2,,,POINT (2.0601966 41.2906056)
2216977226,41.2906493,2.060132,2,,,POINT (2.060132 41.2906493)
2216977227,41.2906944,2.060071,2,,,POINT (2.060071 41.2906944)
2216977228,41.290734,2.0599907,2,,,POINT (2.0599907 41.290734)
2216977229,41.2907997,2.0598196,2,,,POINT (2.0598196 41.2907997)
2216977230,41.2908354,2.0566537,2,,,POINT (2.0566537 41.2908354)
2216977231,41.2908383,2.056877,2,,,POINT (2.056877 41.2908383)
2216977233,41.2908501,2.0563926,2,,,POINT (2.0563926 41.2908501)
2216977234,41.2908599,2.057099,2,,,POINT (2.057099 41.2908599)
2216977237,41.2908923,2.0573014,2,,,POINT (2.0573014 41.2908923)
2216977238,41.2908982,2.0560857,2,,,POINT (2.0560857 41.2908982)
2216977239,41.2909218,2.0595573,2,,,POINT (2.0595573 41.2909218)
2216977240,41.2909354,2.0574881,2,,,POINT (2.0574881 41.2909354)
2216977242,41.2909845,2.0576069,2,,,POINT (2.0576069 41.2909845)
2216977244,41.2910493,2.0577075,2,,,POINT (2.0577075 41.2910493)
2216977245,41.291115,2.057808,2,,,POINT (2.057808 41.291115)
2216977246,41.2911593,2.0557683,2,,,POINT (2.0557683 41.2911593)
2216977247,41.2911717,2.0557097,2,,,POINT (2.0557097 41.2911717)
2216977248,41.2911787,2.0556871,2,,,POINT (2.0556871 41.2911787)
2216977249,41.2911799,2.0590384,2,,,POINT (2.0590384 41.2911799)
2216977250,41.2911905,2.0556598,2,,,POINT (2.0556598 41.2911905)
2216977251,41.2912071,2.0578901,2,,,POINT (2.0578901 41.2912071)
2216977252,41.2912044,2.0556372,2,,,POINT (2.0556372 41.2912044)
2216977253,41.2912148,2.0556243,2,,,POINT (2.0556243 41.2912148)
2216977254,41.2912321,2.0556063,2,,,POINT (2.0556063 41.2912321)
2216977255,41.2912501,2.0555929,2,,,POINT (2.0555929 41.2912501)
2216977256,41.291266,2.0579643,2,,,POINT (2.0579643 41.291266)
2216977257,41.2912716,2.0555841,2,,,POINT (2.0555841 41.2912716)
2216977258,41.2913219,2.0555703,2,,,POINT (2.0555703 41.2913219)
2216977259,41.2913243,2.0580511,2,,,POINT (2.0580511 41.2913243)
2216977260,41.2913555,2.0586993,2,,,POINT (2.0586993 41.2913555)
2216977261,41.2913577,2.0555583,2,,,POINT (2.0555583 41.2913577)
2216977262,41.2913646,2.0581324,2,,,POINT (2.0581324 41.2913646)
2216977263,41.2913847,2.0581933,2,,,POINT (2.0581933 41.2913847)
2216977264,41.2913895,2.0586014,2,,,POINT (2.0586014 41.2913895)
2216977265,41.2913896,2.0555412,2,,,POINT (2.0555412 41.2913896)
