u,v,key,osmid,highway,maxspeed,oneway,ref,reversed,length,lanes,name,width,junction,access,service,bridge,geometry
245491906,9493823335,0,1113306549,residential,30,False,,True,14.700449572865788,,Passeig de la Marina,,,,,,"LINESTRING (2.0234473 41.3160748, 2.0235686 41.315979)"
245493082,1885951246,0,20026341,tertiary,30,True,C-245,False,9.722798761618408,,,,roundabout,,,,"LINESTRING (2.0130518 41.3079871, 2.0131028 41.3080657)"
245935865,576359614,0,26374097,residential,30,True,,False,20.425080022492065,1,Avinguda de la Riera de Sant Llorenç,,,,,,"LINESTRING (2.001815 41.3115706, 2.0015849 41.3115084)"
246811674,4569344748,0,236387360,residential,30,True,,False,171.55270464591314,,Avinguda de Rosa Luxemburg,,,,,,"LINESTRING (2.0038409 41.3104875, 2.0053412 41.3115412)"
473475905,2208488628,0,116025923,primary,30,True,,False,16.533784240658992,3,T1 Sortida Aeroport,,,,parking_aisle,,"LINESTRING (2.0659198 41.2883168, 2.0657309 41.2883611)"
473481295,10982830804,0,39522252,unclassified,30,False,,False,16.493514439870953,,Carretera de la Vidala,,,,,,"LINESTRING (2.0548472 41.2876744, 2.0550403 41.2876436)"
473481304,3234203089,0,39522252,unclassified,30,False,,True,33.23507200286081,,Carretera de la Vidala,,,,,,"LINESTRING (2.0557536 41.287532, 2.0553636 41.2875908)"
473593975,9508157735,0,212298816,unclassified,30,True,,False,4.539118496033904,,,,,,,,"LINESTRING (2.0534137 41.2773192, 2.0533942 41.2772811)"
473593976,9579126351,0,212298816,unclassified,30,True,,False,4.619236352946222,,,,,,,,"LINESTRING (2.0533644 41.2772607, 2.0533127 41.277246)"
473593977,473593978,0,212298816,unclassified,30,True,,False,28.569793204754152,,,,,,,,"LINESTRING (2.0523949 41.277296, 2.052061 41.2773512)"
473593978,473593979,0,212298816,unclassified,30,True,,False,42.53598399476314,,,,,,,,"LINESTRING (2.052061 41.2773512, 2.0515546 41.2773899)"
473593979,473593980,0,212298816,unclassified,30,True,,False,28.723985726177595,,,,,,,,"LINESTRING (2.0515546 41.2773899, 2.0512113 41.2774028)"
473593980,473593981,0,212298816,unclassified,30,True,,False,27.96947861424329,,,,,,,,"LINESTRING (2.0512113 41.2774028, 2.0508766 41.2774028)"
473593981,9508157734,0,212298816,unclassified,30,True,,False,14.751243431920932,,,,,,,,"LINESTRING (2.0508766 41.2774028, 2.0507038 41.2773757)"
473593982,473593983,0,212298816,unclassified,30,True,,False,31.084773670249778,,,,,,,,"LINESTRING (2.0505504 41.2773189, 2.0503477 41.2770845)"
473593983,473593984,0,212298816,unclassified,30,True,,False,35.561181857654994,,,,,,,,"LINESTRING (2.0503477 41.2770845, 2.0501278 41.2768107)"
473593984,473593985,0,212298816,unclassified,30,True,,False,16.367797986148954,,,,,,,,"LINESTRING (2.0501278 41.2768107, 2.0500325 41.2766821)"
473593985,473593986,0,212298816,unclassified,30,True,,False,8.871411419393128,,,,,,,,"LINESTRING (2.0500325 41.2766821, 2.0499978 41.2766067)"
473593986,9508157733,0,212298816,unclassified,30,True,,False,6.185030801149504,,,,,,,,"LINESTRING (2.0499978 41.2766067, 2.0499618 41.2765581)"
473593987,473593988,0,212298816,unclassified,30,True,,False,30.54930736146319,,,,,,,,"LINESTRING (2.0498123 41.2765185, 2.0495246 41.276349)"
473593988,9508157732,0,212298816,unclassified,30,True,,False,41.61665287682601,,,,,,,,"LINESTRING (2.0495246 41.276349, 2.0491937 41.2760693)"
473593989,473593990,0,212298816,unclassified,30,True,,False,7.0331646176514715,,,,,,,,"LINESTRING (2.0488354 41.2756615, 2.0488586 41.2756007)"
473593990,473593992,0,212298816,unclassified,30,True,,False,9.837577780237138,,,,,,,,"LINESTRING (2.0488586 41.2756007, 2.0488939 41.2755163)"
473593992,473593995,0,212298816,unclassified,30,True,,False,18.302404236715013,,,,,,,,"LINESTRING (2.0488939 41.2755163, 2.0489539 41.275358)"
473593995,8864788699,0,212298816,unclassified,30,True,,False,12.119659838641052,,,,,,,,"LINESTRING (2.0489539 41.275358, 2.0489401 41.2752495)"
473593999,8864788701,0,212298816,unclassified,30,True,,False,6.880708495015615,,,,,,,,"LINESTRING (2.048883 41.2751156, 2.048867 41.2750549)"
475575577,7788152921,0,39672119,residential,30,False,,False,26.99749378989843,,Carrer de l'Estel Polar,,,,,,"LINESTRING (2.0554488 41.2966362, 2.0557437 41.2967355)"
607644080,9490977198,0,204331653,tertiary,30,False,BV-2003,False,11.474208604946686,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0138226 41.3242863, 2.0137368 41.3243669)"
607644080,9490977195,0,204331653,tertiary,30,False,BV-2003,True,11.101370389800188,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0138226 41.3242863, 2.0139044 41.3242076)"
607644081,9490977193,0,204331653,tertiary,30,False,BV-2003,False,11.30423682472016,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0145726 41.3235679, 2.0144874 41.3236469)"
607644081,9490977190,0,204331653,tertiary,30,False,BV-2003,True,12.30816644814819,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0145726 41.3235679, 2.0146627 41.3234803)"
607644089,9493716906,0,204331656,tertiary,30,True,BV-2003,False,11.507384174631756,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0161382 41.3220361, 2.0162243 41.3219553)"
607644091,9493760802,0,95265027,residential,30,True,,False,4.387674226572204,,Carrer Verge Montserrat,,,,,,"LINESTRING (2.0166448 41.3215474, 2.0166033 41.3215232)"
607644091,9493760800,0,204331656,tertiary,30,True,BV-2003,False,10.735024499914562,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0166448 41.3215474, 2.0167272 41.3214733)"
607644095,9493760779,0,95277283,residential,30,True,,False,9.438895671588558,,Carrer de la Mare de Déu de Sales,,,,,,"LINESTRING (2.0177023 41.3203569, 2.0177795 41.3204189)"
607644344,8047624245,0,539700918,tertiary,30,False,C-245,False,11.961641862322688,4,Avinguda de la Generalitat,12,,,,,"LINESTRING (2.0216452 41.31659, 2.0217355 41.3166735)"
607644344,10209998500,0,539700918,tertiary,30,False,C-245,True,14.964151589438384,4,Avinguda de la Generalitat,12,,,,,"LINESTRING (2.0216452 41.31659, 2.0215392 41.3164815)"
728705263,10108126917,0,58801801,residential,30,True,,False,5.220443985893922,2,Carretera de Santa Creu de Calafell,,,,,,"LINESTRING (2.0301739 41.323036, 2.0302145 41.3230717)"
728705271,2987193094,0,1298100505,tertiary,30,True,C-245,False,16.619686822325107,2,,,circular,,,,"LINESTRING (2.0300579 41.3225643, 2.030078 41.322713)"
728705278,2987193091,0,295047601,tertiary,30,True,C-245,False,16.20638017717343,2,,,circular,,,,"LINESTRING (2.0296651 41.3222619, 2.0298384 41.3223275)"
728705281,2987193088,0,539861453,tertiary,30,True,C-245,False,12.8852591631985,2,,,circular,,,,"LINESTRING (2.0291089 41.3223455, 2.0292405 41.322285)"
1091868516,1091868533,0,93919111,residential,30,True,,False,63.86402615916047,,Avinguda de Rosa Luxemburg,,,,,,"LINESTRING (2.0052439 41.3116231, 2.0047056 41.3112152)"
1091868517,4584610474,0,93919111,residential,30,True,,False,53.29564087710147,,Avinguda de Rosa Luxemburg,,,,,,"LINESTRING (2.0042395 41.3108875, 2.0037756 41.3105584)"
1091868533,1091868517,0,93919111,residential,30,True,,False,53.322733760112165,,Avinguda de Rosa Luxemburg,,,,,,"LINESTRING (2.0047056 41.3112152, 2.0042395 41.3108875)"
1092219034,10093402142,0,93950932,residential,20,True,,False,61.66213575122683,,Carrer de les Dàlies,,,,,,"LINESTRING (2.000968 41.317157, 2.0004352 41.3167731)"
1094296689,10210143583,0,1116324296,tertiary,30,False,C-245,True,17.204836454883875,4,Avinguda de la Generalitat,12,,yes,,,"LINESTRING (2.0158337 41.3108572, 2.0157123 41.3107322)"
1094296689,10210143587,0,1192906931,tertiary,30,False,C-245,False,14.493356758752368,4,Avinguda de la Generalitat,12,,yes,,,"LINESTRING (2.0158337 41.3108572, 2.015939 41.3109608)"
1105149728,9493760797,0,95277282,residential,30,True,,False,11.081076596389622,,Carrer Àngel Arañó,,,,,,"LINESTRING (2.0171331 41.3210608, 2.0170361 41.3209928)"
1105149728,9493760796,0,567578092,tertiary,30,True,BV-2003,False,11.48980233817018,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0171331 41.3210608, 2.0172294 41.320987)"
1105149764,12181488524,0,102848199,residential,30,False,,False,48.05911429178576,,Avinguda del Molí,,,,,,"LINESTRING (2.0147398 41.3219488, 2.0141788 41.3218524)"
1105149764,1187672549,0,102848199,residential,30,False,,True,9.816213015186694,,Avinguda del Molí,,,,,,"LINESTRING (2.0147398 41.3219488, 2.0148485 41.3219824)"
1105149775,1116623956,0,95277286,residential,30,True,,False,46.000312081931206,,Carrer del Canonge Doctor Auguet,,,,,,"LINESTRING (2.0109926 41.3195815, 2.0105713 41.319315)"
1105149778,1512110711,0,95277286,residential,30,True,,False,88.98076688916612,,Carrer del Canonge Doctor Auguet,,,,,,"LINESTRING (2.0095969 41.3186876, 2.0087936 41.3181619)"
1108381682,8664908625,0,95277282,residential,30,True,,False,61.786207273642695,,Carrer Àngel Arañó,,,,,,"LINESTRING (2.0125511 41.317807, 2.0120107 41.3174275)"
1108381685,4087692901,0,95265027,residential,30,True,,False,117.61418950919396,,Carrer Verge Montserrat,,,,,,"LINESTRING (2.011821 41.3183909, 2.0107434 41.3177099)"
1109639608,4558538598,0,539667094,tertiary,30,True,C-245,False,4.102166269119138,,,,roundabout,,,,"LINESTRING (2.0256249 41.3200179, 2.0256199 41.3199812)"
1116623956,1105149778,0,95277286,residential,30,True,,False,107.18589006890912,,Carrer del Canonge Doctor Auguet,,,,,,"LINESTRING (2.0105713 41.319315, 2.0095969 41.3186876)"
1118733996,211321896,0,539861454,tertiary,30,True,C-245,False,5.327221347207257,,,,roundabout,,,,"LINESTRING (2.0260044 41.3200086, 2.0259714 41.3200496)"
1119093874,9490977199,0,204331653,tertiary,30,False,BV-2003,True,5.661147842485104,2,Carretera de Sant Climent,,,,,,"LINESTRING (2.0130957 41.3249716, 2.0131373 41.3249314)"
1119093895,9490976700,0,208418746,residential,30,True,,False,8.43420860865729,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0131406 41.3251084, 2.0132169 41.3251581)"
1124981402,1472993469,0,539667089,tertiary,30,True,,False,2.6428863455303873,,,,roundabout,,,,"LINESTRING (2.0171696 41.3230123, 2.0172011 41.32301)"
1124981403,1472993473,0,97106097,tertiary,30,True,,False,2.449651184468373,,,,roundabout,,,,"LINESTRING (2.0172804 41.3230421, 2.0172943 41.3230615)"
1124981404,1472993462,0,97106097,tertiary,30,True,,False,2.515036971279564,,,,roundabout,,,,"LINESTRING (2.0172887 41.3231259, 2.017271 41.3231442)"
1124981404,9490955832,0,102841117,residential,30,False,,False,10.650542146642879,,Avinguda dels Jocs Olímpics,,,,,,"LINESTRING (2.0172887 41.3231259, 2.0173952 41.3231786)"
1124981405,1472993466,0,97106097,tertiary,30,True,,False,2.517476301541775,,,,roundabout,,,,"LINESTRING (2.0172471 41.323158, 2.017219 41.3231662)"
1124981406,1472993465,0,97106097,tertiary,30,True,,False,2.8376673626284297,,,,roundabout,,,,"LINESTRING (2.0171595 41.3231634, 2.0171298 41.323151)"
1124981406,9490955833,0,97106099,residential,30,True,,False,8.067748316629954,,Carrer de Marià Sanjuan,,,,,,"LINESTRING (2.0171595 41.3231634, 2.017115 41.3232278)"
1124981407,1472993459,0,97106097,tertiary,30,True,,False,2.8361940867287743,,,,roundabout,,,,"LINESTRING (2.0170934 41.3231087, 2.0170903 41.3230833)"
1124981409,9490955828,0,97106099,residential,30,True,,False,15.870450312842124,,Carrer de Marià Sanjuan,,,,,,"LINESTRING (2.0169143 41.3236062, 2.0168534 41.3237414)"
1124981410,9490955827,0,97106099,residential,30,True,,False,5.879803578871565,,Carrer de Marià Sanjuan,,,,,,"LINESTRING (2.0164486 41.32464, 2.01643 41.324691)"
1124981438,9490976705,0,97106116,residential,30,True,,False,15.162649177195094,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0141556 41.325587, 2.0143214 41.3256426)"
1124981481,9490976712,0,97106119,residential,30,True,,False,5.091282547048374,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0158003 41.3261146, 2.0157406 41.3261053)"
1124981498,1124981501,0,97106116,residential,30,True,,False,27.70218599590507,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0149013 41.3258378, 2.0152177 41.3259127)"
1124981501,10093349907,0,97106116,residential,30,True,,False,22.752923094771642,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0152177 41.3259127, 2.0154807 41.3259662)"
1124981502,1124981460,0,97106116,residential,30,True,,False,13.155059452953658,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0156975 41.3260037, 2.0158539 41.3260179)"
