osmid,y,x,street_count,highway,ref,geometry
9490955852,41.3223063,2.0186001,2,crossing,,POINT (2.0186001 41.3223063)
9490976698,41.3252306,2.0128227,2,crossing,,POINT (2.0128227 41.3252306)
9490976699,41.3252186,2.013154,2,crossing,,POINT (2.013154 41.3252186)
9490976700,41.3251581,2.0132169,2,crossing,,POINT (2.0132169 41.3251581)
9490976701,41.3249101,2.0131593,2,crossing,,POINT (2.0131593 41.3249101)
9490976702,41.3248686,2.012813,2,crossing,,POINT (2.012813 41.3248686)
9490976703,41.3249346,2.0127414,2,crossing,,POINT (2.0127414 41.3249346)
9490976704,41.3254513,2.0142712,2,crossing,,POINT (2.0142712 41.3254513)
9490976705,41.3256426,2.0143214,2,crossing,,POINT (2.0143214 41.3256426)
9490976706,41.3257308,2.014265,2,crossing,,POINT (2.014265 41.3257308)
9490976712,41.3261053,2.0157406,2,,,POINT (2.0157406 41.3261053)
9490976713,41.325894,2.0160172,2,crossing,,POINT (2.0160172 41.325894)
9490976714,41.3260925,2.0156684,2,crossing,,POINT (2.0156684 41.3260925)
9490976715,41.3252267,2.0162381,2,crossing,,POINT (2.0162381 41.3252267)
9490977189,41.3236025,2.0146373,2,stop,,POINT (2.0146373 41.3236025)
9490977190,41.3234803,2.0146627,2,crossing,,POINT (2.0146627 41.3234803)
9490977191,41.3236279,2.014685,2,crossing,,POINT (2.014685 41.3236279)
9490977192,41.3235143,2.0144619,2,crossing,,POINT (2.0144619 41.3235143)
9490977193,41.3236469,2.0144874,2,crossing,,POINT (2.0144874 41.3236469)
9490977194,41.3237647,2.0143602,2,,,POINT (2.0143602 41.3237647)
9490977195,41.3242076,2.0139044,2,crossing,,POINT (2.0139044 41.3242076)
9490977196,41.3243389,2.013909,2,crossing,,POINT (2.013909 41.3243389)
9490977197,41.3242144,2.0136948,2,crossing,,POINT (2.0136948 41.3242144)
9490977198,41.3243669,2.0137368,2,crossing,,POINT (2.0137368 41.3243669)
9490977199,41.3249314,2.0131373,2,,,POINT (2.0131373 41.3249314)
9493716905,41.3217133,2.0164844,2,,,POINT (2.0164844 41.3217133)
9493716906,41.3219553,2.0162243,2,crossing,,POINT (2.0162243 41.3219553)
9493716907,41.3220045,2.0160843,2,crossing,,POINT (2.0160843 41.3220045)
9493716908,41.3223632,2.015744,2,,,POINT (2.015744 41.3223632)
9493716909,41.322332,2.0158396,2,,,POINT (2.0158396 41.322332)
9493716911,41.3222786,2.0158941,2,crossing,,POINT (2.0158941 41.3222786)
9493716912,41.3224651,2.0159562,2,crossing,,POINT (2.0159562 41.3224651)
9493716913,41.3224695,2.0157103,2,crossing,,POINT (2.0157103 41.3224695)
9493716914,41.322335,2.0156816,2,traffic_signals,,POINT (2.0156816 41.322335)
9493716915,41.3223064,2.0158641,2,traffic_signals,,POINT (2.0158641 41.3223064)
9493716916,41.3224435,2.0159127,2,traffic_signals,,POINT (2.0159127 41.3224435)
9493735517,41.3224914,2.0156855,2,traffic_signals,,POINT (2.0156855 41.3224914)
