u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,access,bridge,tunnel
2383446338,7833168253,0,"[1227695468, 898111671]",cycleway,,,False,True,6.2922558911409165,,,"LINESTRING (2.0159453 41.303742, 2.0159751 41.3037282, 2.0160095 41.3037124)",,,,,
2383446338,2383446364,0,1238473344,residential,,Carrer d'Hipàcia,True,False,22.102527011999076,,,"LINESTRING (2.0159453 41.303742, 2.0158391 41.3036432, 2.0157636 41.3035992)",,,,,
2404835470,11382810695,0,"[1107267313, 839523532]",cycleway,,,False,False,191.4090523329983,,,"LINESTRING (2.0225296 41.313096, 2.0224564 41.3130781, 2.0213394 41.3145146)",1,,,,
2404835470,1672512233,0,154766475,tertiary,40,Carretera de la Vila,False,False,224.4221153012171,,B-204,"LINESTRING (2.0225296 41.313096, 2.0220566 41.3137017, 2.0216891 41.3141723, 2.0215954 41.3142922, 2.0214466 41.3144828, 2.021291 41.314682, 2.0211701 41.3148369)",,,,,
2404835470,1672512187,0,540512678,tertiary,40,Carretera de la Vila,True,False,19.27985419737813,,B-204,"LINESTRING (2.0225296 41.313096, 2.0225248 41.3129936, 2.0225123 41.3129233)",,,,,
2407138071,2407138072,0,232359815,residential,,Avinguda del Doctor Fleming,True,False,17.13568653749443,,,"LINESTRING (2.0096361 41.3103833, 2.0094754 41.3104791)",,,,,
2407138071,8346926055,0,804452580,cycleway,,,True,False,171.94839077260815,,,"LINESTRING (2.0096361 41.3103833, 2.0096733 41.3104447, 2.00991 41.3103691, 2.0102603 41.3102402, 2.0105208 41.310124, 2.0109121 41.3099385, 2.0112754 41.3097213, 2.0113474 41.3096788)",,,,,
2407138071,1177157014,0,93978668,residential,,Avinguda del Doctor Fleming,False,True,167.28373692092373,,,"LINESTRING (2.0096361 41.3103833, 2.0098815 41.3103126, 2.0101527 41.3102145, 2.0102895 41.3101604, 2.010622 41.3100086, 2.010791 41.3099265, 2.0109563 41.3098363, 2.0110759 41.3097726, 2.0113423 41.3096102)",,,,,
3088102802,3088105221,0,304278504,residential,,Carrer de l'Enginy,True,False,85.64790248042692,,,"LINESTRING (2.0180366 41.3021043, 2.0173315 41.3026635)",,,,,
3088102802,3088102832,0,839426968,cycleway,,,False,False,215.85119297340677,,,"LINESTRING (2.0180366 41.3021043, 2.0179396 41.3021125, 2.0167708 41.303057, 2.0167027 41.3031081, 2.0166299 41.3031588, 2.0165655 41.3031922, 2.0163118 41.3033101, 2.0162342 41.3033468, 2.0161938 41.3034204)",,,,,
3088102818,3088105135,0,304278507,residential,,Carrer de l'Enginy,True,False,18.55700875959418,,,"LINESTRING (2.018522 41.3017102, 2.0183827 41.3018402)",2,,,,
3088102818,8346442454,0,"[839426971, 898113172, 898113171]",cycleway,,,False,"[False, True]",180.6436709085379,,,"LINESTRING (2.018522 41.3017102, 2.0184729 41.3016801, 2.0198437 41.3005411, 2.0198836 41.3005697)",,,,,
3088102832,3088102802,0,839426968,cycleway,,,False,True,215.85119297340677,,,"LINESTRING (2.0161938 41.3034204, 2.0162342 41.3033468, 2.0163118 41.3033101, 2.0165655 41.3031922, 2.0166299 41.3031588, 2.0167027 41.3031081, 2.0167708 41.303057, 2.0179396 41.3021125, 2.0180366 41.3021043)",,,,,
3088102832,2383446355,0,304278504,residential,,Carrer de l'Enginy,True,False,15.368796615172414,,,"LINESTRING (2.0161938 41.3034204, 2.0160986 41.3034658, 2.0160365 41.303492)",,,,,
4353309813,7833220378,0,898113170,cycleway,,,False,True,3.2674324902547456,,,"LINESTRING (2.0252548 41.3045337, 2.0252798 41.3045111)",,,,,
4353309813,4353309814,0,437518125,residential,,Carrer de Matilde Ucelay,False,False,9.80348815608988,,,"LINESTRING (2.0252548 41.3045337, 2.025191 41.3046077)",,,,,
4353309813,7833220379,0,304278509,residential,50,Carrer de Marie Curie,True,False,334.0315335334061,,,"LINESTRING (2.0252548 41.3045337, 2.0264676 41.3059349, 2.0273503 41.3070428, 2.0273787 41.3070784)",2,,,,
4558538598,211321256,0,539667094,tertiary,30,,True,False,4.607141239936411,roundabout,C-245,"LINESTRING (2.0256199 41.3199812, 2.0256221 41.3199398)",,,,,
4558538598,11333547171,0,1222056731,residential,30,Carretera de Barcelona,True,False,17.214741472553694,,,"LINESTRING (2.0256199 41.3199812, 2.0255275 41.3199832, 2.0254448 41.3199246)",,,,,
4569265245,3088102817,0,576811567,residential,,Carrer de l'Enginy,True,False,8.964763246100045,,,"LINESTRING (2.0205931 41.2999469, 2.020549 41.3000204)",,,,,
4569265245,7833220378,0,839429961,cycleway,,,False,False,641.6762325561047,,,"LINESTRING (2.0205931 41.2999469, 2.0207968 41.3000675, 2.0222823 41.3015214, 2.0236263 41.3028487, 2.0248117 41.3040205, 2.0252798 41.3045111)",,,,,
4569265245,4353309813,0,304278509,residential,50,Carrer de Marie Curie,True,False,641.6949184405128,,,"LINESTRING (2.0205931 41.2999469, 2.0210892 41.3004303, 2.0231452 41.3024577, 2.0236754 41.3029805, 2.0243801 41.3036708, 2.0252548 41.3045337)",2,,,,
5346948499,5401631423,0,95277284,residential,,Avinguda Josep Tarradellas,False,False,105.19882741323495,,,"LINESTRING (2.0129692 41.3156926, 2.0121349 41.3164014)",,,,,
5346948499,1094360498,0,428130542,residential,,Avinguda Josep Tarradellas,True,False,29.648063749140032,,,"LINESTRING (2.0129692 41.3156926, 2.0130461 41.3154323)",,,,,
5346948499,1096529627,0,804453052,cycleway,,,False,False,302.5565794402903,,,"LINESTRING (2.0129692 41.3156926, 2.0128566 41.3156068, 2.0107545 41.3174086, 2.0105191 41.317512)",,,,,
