u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,bridge,access,service
7524554142,11333547172,0,"[1192906937, 1086991034]",cycleway,,Carretera de Barcelona,False,True,392.66344706593895,,,"LINESTRING (2.022423 41.3172133, 2.0227674 41.317551, 2.0231721 41.317898, 2.0232695 41.3179699, 2.023445 41.3180891, 2.0238269 41.3183891, 2.0238661 41.3184157, 2.0239046 41.3184365, 2.0240966 41.3185675, 2.0246232 41.318951, 2.0256872 41.3197259, 2.0257031 41.3197352)",2,2,,,
7524554142,7524554155,0,1113306548,cycleway,,Passeig de la Marina,False,True,19.591901845163648,,,"LINESTRING (2.022423 41.3172133, 2.0223949 41.3171808, 2.02234 41.3171172, 2.0223312 41.3170969, 2.0223404 41.3170572)",,,,,
7524554154,7524556141,0,"[804464496, 1113306546, 804464494]",cycleway,,Passeig de la Marina,False,True,550.6100822715266,,,"LINESTRING (2.0252674 41.3145216, 2.0255292 41.3143702, 2.0263129 41.313932, 2.026341 41.3139257, 2.0264099 41.3139315, 2.0264643 41.3139371, 2.0264972 41.3139407, 2.0265298 41.3139539, 2.0270326 41.3144792, 2.0273648 41.3148287, 2.0273747 41.3148431, 2.0273727 41.3148641, 2.0273809 41.3148983, 2.0273943 41.3149341, 2.0274206 41.3149602, 2.0274471 41.3149803, 2.0274814 41.3149952, 2.0275203 41.315008, 2.0275349 41.3150106, 2.0275475 41.3150207, 2.0284834 41.3160136, 2.0287605 41.3162795, 2.0292966 41.3167484, 2.0292643 41.3168946, 2.0293165 41.3169341, 2.029403 41.3169994)",,,,,
7524554155,7524554142,0,1113306548,cycleway,,Passeig de la Marina,False,False,19.591901845163648,,,"LINESTRING (2.0223404 41.3170572, 2.0223312 41.3170969, 2.02234 41.3171172, 2.0223949 41.3171808, 2.022423 41.3172133)",,,,,
7524554155,10185571974,0,"[1113306548, 1113306550]",cycleway,,Passeig de la Marina,False,True,19.54975587378769,,,"LINESTRING (2.0223404 41.3170572, 2.0223414 41.3170204, 2.0223408 41.3170087, 2.0223328 41.3169832, 2.0223338 41.316968, 2.0222757 41.3169184, 2.0222547 41.3169064)",,,,,
7524554155,7524554161,0,"[804466943, 1113306551]",cycleway,,Passeig de la Marina,False,True,358.5354194097425,,,"LINESTRING (2.0223404 41.3170572, 2.0224211 41.31701, 2.0226494 41.3168655, 2.0228763 41.3166997, 2.0229469 41.3166393, 2.0229831 41.3166114, 2.0235783 41.3161968, 2.0236674 41.316118, 2.0240089 41.3158501, 2.0241768 41.315727, 2.0242575 41.3156305, 2.0246703 41.3152565, 2.0247189 41.3151862, 2.0250433 41.3147643, 2.0251198 41.3146368)",,,,,
7524554161,7524554155,0,"[1113306551, 804466943]",cycleway,,Passeig de la Marina,False,False,358.5354194097425,,,"LINESTRING (2.0251198 41.3146368, 2.0250433 41.3147643, 2.0247189 41.3151862, 2.0246703 41.3152565, 2.0242575 41.3156305, 2.0241768 41.315727, 2.0240089 41.3158501, 2.0236674 41.316118, 2.0235783 41.3161968, 2.0229831 41.3166114, 2.0229469 41.3166393, 2.0228763 41.3166997, 2.0226494 41.3168655, 2.0224211 41.31701, 2.0223404 41.3170572)",,,,,
7524556111,7524556173,0,804464495,cycleway,,,False,False,65.58808721689016,,,"LINESTRING (2.0302346 41.3185855, 2.0307844 41.3181643)",,,,,
7524556111,8346947727,0,898160998,cycleway,,,False,False,7.668649168411063,,,"LINESTRING (2.0302346 41.3185855, 2.0303013 41.3186329)",,,,,
7524556111,7524556117,0,804464495,cycleway,,,False,True,26.228373971427708,,,"LINESTRING (2.0302346 41.3185855, 2.0302059 41.3186068, 2.0301802 41.318618, 2.0301638 41.3186222, 2.0301354 41.3186249, 2.0301162 41.3186302, 2.0300879 41.3186523, 2.0300649 41.3186703, 2.0300567 41.31868, 2.0300554 41.3186879, 2.0300526 41.3187165, 2.0300491 41.3187241, 2.0300317 41.3187413)",,,,,
7524556117,8346947733,0,898160993,cycleway,,,False,False,7.700746137699885,,,"LINESTRING (2.0300317 41.3187413, 2.0300948 41.3187918)",,,,,
7524556117,7524556111,0,804464495,cycleway,,,False,False,26.228373971427708,,,"LINESTRING (2.0300317 41.3187413, 2.0300491 41.3187241, 2.0300526 41.3187165, 2.0300554 41.3186879, 2.0300567 41.31868, 2.0300649 41.3186703, 2.0300879 41.3186523, 2.0301162 41.3186302, 2.0301354 41.3186249, 2.0301638 41.3186222, 2.0301802 41.318618, 2.0302059 41.3186068, 2.0302346 41.3185855)",,,,,
7524556117,8346945913,0,804464495,cycleway,,,False,True,188.32426924813433,,,"LINESTRING (2.0300317 41.3187413, 2.0293681 41.3192458, 2.0284491 41.3199478)",,,,,
7524556141,7524554154,0,"[804464496, 1113306546, 804464494]",cycleway,,Passeig de la Marina,False,False,550.6100822715267,,,"LINESTRING (2.029403 41.3169994, 2.0293165 41.3169341, 2.0292643 41.3168946, 2.0292966 41.3167484, 2.0287605 41.3162795, 2.0284834 41.3160136, 2.0275475 41.3150207, 2.0275349 41.3150106, 2.0275203 41.315008, 2.0274814 41.3149952, 2.0274471 41.3149803, 2.0274206 41.3149602, 2.0273943 41.3149341, 2.0273809 41.3148983, 2.0273727 41.3148641, 2.0273747 41.3148431, 2.0273648 41.3148287, 2.0270326 41.3144792, 2.0265298 41.3139539, 2.0264972 41.3139407, 2.0264643 41.3139371, 2.0264099 41.3139315, 2.026341 41.3139257, 2.0263129 41.313932, 2.0255292 41.3143702, 2.0252674 41.3145216)",,,,,
