u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,bridge,access,service
7524420478,7524420483,0,804454197,cycleway,,,False,True,85.01123891318414,,,"LINESTRING (2.0164607 41.3116605, 2.0163172 41.3117515, 2.0162928 41.3117753, 2.016328 41.3118255, 2.0163291 41.3118571, 2.0162978 41.3118891, 2.015943 41.3122706)",,,,,
7524420478,10207212436,0,1115987201,cycleway,,Avinguda de la Generalitat,False,False,89.59645048081623,,,"LINESTRING (2.0164607 41.3116605, 2.0163728 41.311575, 2.0158063 41.3110338, 2.0157992 41.3110262)",2,2,,,
7524420478,9781413839,0,"[1192906939, 1065108741]",cycleway,,Avinguda de la Generalitat,False,"[False, True]",33.02552097877475,,,"LINESTRING (2.0164607 41.3116605, 2.0165624 41.3117663, 2.0166403 41.3118121, 2.0167152 41.3118722, 2.0167231 41.3118801)",2,2,,,
7524420481,7524420482,0,"[804454200, 804454201]",cycleway,,,False,"[False, True]",259.9342110085852,,,"LINESTRING (2.0155939 41.3126401, 2.0147839 41.3135568, 2.0148632 41.313565, 2.0149217 41.3135935, 2.0149796 41.3136268, 2.01558 41.3129411, 2.0157655 41.3127342)",,,,,
7524420482,7524420481,0,"[804454200, 804454201]",cycleway,,,False,"[False, True]",259.9342110085852,,,"LINESTRING (2.0157655 41.3127342, 2.01558 41.3129411, 2.0149796 41.3136268, 2.0149217 41.3135935, 2.0148632 41.313565, 2.0147839 41.3135568, 2.0155939 41.3126401)",,,,,
7524420483,7524420478,0,804454197,cycleway,,,False,False,85.01123891318416,,,"LINESTRING (2.015943 41.3122706, 2.0162978 41.3118891, 2.0163291 41.3118571, 2.016328 41.3118255, 2.0162928 41.3117753, 2.0163172 41.3117515, 2.0164607 41.3116605)",,,,,
7524420484,9781413839,0,804454198,cycleway,,,False,True,79.66863214378515,,,"LINESTRING (2.0160984 41.3123724, 2.0164257 41.3120312, 2.0164826 41.3119719, 2.0165131 41.3119455, 2.0165728 41.3119429, 2.0165992 41.3119541, 2.0166745 41.3119203, 2.0167231 41.3118801)",,,,,
7524458029,7524458045,0,804459237,cycleway,,,False,False,4.602070445239616,,,"LINESTRING (2.0252668 41.3128382, 2.0253115 41.3128624)",,,,,
7524458029,2088165801,0,154766498,living_street,10,Avinguda d'Olof Palme,True,False,6.37173842865287,,,"LINESTRING (2.0252668 41.3128382, 2.0252206 41.3128838)",,5,,,
7524458029,7833252095,0,"[804459235, 804459237, 1227486558, 1227486559]",cycleway,,,False,True,209.44523598429302,,,"LINESTRING (2.0252668 41.3128382, 2.0240319 41.3121271, 2.0235921 41.3118817, 2.0235818 41.3118695, 2.0235784 41.3118575, 2.0235795 41.3118516, 2.0235817 41.3118458, 2.0235868 41.3118393, 2.0236173 41.3118093, 2.0236288 41.3117976, 2.0235955 41.311778, 2.0235589 41.3117564, 2.0235317 41.3117412, 2.0234116 41.3116739)",,,,,
7524458045,7524458029,0,804459237,cycleway,,,False,True,4.602070445239616,,,"LINESTRING (2.0253115 41.3128624, 2.0252668 41.3128382)",,,,,
7524458045,7833252105,0,804459233,cycleway,,,False,True,362.93827264021655,,,"LINESTRING (2.0253115 41.3128624, 2.0253251 41.3128486, 2.0278971 41.3102391)",,2,,,
7524458045,11383885233,0,1227609654,cycleway,,,False,False,7.836549594191964,,,"LINESTRING (2.0253115 41.3128624, 2.0253542 41.3128891, 2.0253836 41.3129075)",,2,,,
7524554142,8346947737,0,804466942,cycleway,,,False,False,7.786525065431661,,,"LINESTRING (2.022423 41.3172133, 2.0223489 41.3172558)",,,,,
