u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,access,bridge,tunnel,geometry
2209582935,2209582720,0,210931272,cycleway,,,,False,True,167.76284890017533,,,,,,,"LINESTRING (2.0646075 41.2882549, 2.0662961 41.2874386)"
2209582967,2209583090,0,210931272,cycleway,,,,False,False,115.64241315369497,,,,,,,"LINESTRING (2.0642738 41.2883971, 2.0631528 41.2890071)"
2209582967,2209582935,0,210931272,cycleway,,,,False,True,32.052789667083275,,,,,,,"LINESTRING (2.0642738 41.2883971, 2.0646075 41.2882549)"
2209583090,2209582967,0,210931272,cycleway,,,,False,True,115.64241315369497,,,,,,,"LINESTRING (2.0631528 41.2890071, 2.0642738 41.2883971)"
2209583090,2209583139,0,273924482,cycleway,,,,False,True,135.03901150163665,,,,,,,"LINESTRING (2.0631528 41.2890071, 2.0618181 41.289692)"
2209583139,2209583090,0,273924482,cycleway,,,,False,False,135.03901150163665,,,,,,,"LINESTRING (2.0618181 41.289692, 2.0631528 41.2890071)"
2209583139,2209583141,0,273924482,cycleway,,,,False,True,13.052682316454225,,,,,,,"LINESTRING (2.0618181 41.289692, 2.0616881 41.2897571)"
2209583141,2209583139,0,273924482,cycleway,,,,False,False,13.052682316454225,,,,,,,"LINESTRING (2.0616881 41.2897571, 2.0618181 41.289692)"
2209583141,2209583144,0,273924482,cycleway,,,,False,True,5.305790151652157,,,,,,,"LINESTRING (2.0616881 41.2897571, 2.0616404 41.2897886)"
2209583144,2209583141,0,273924482,cycleway,,,,False,False,5.305790151652157,,,,,,,"LINESTRING (2.0616404 41.2897886, 2.0616881 41.2897571)"
2209583144,2209583152,0,273924482,cycleway,,,,False,True,6.348294266047183,,,,,,,"LINESTRING (2.0616404 41.2897886, 2.0615928 41.2898331)"
2209583152,2209583144,0,273924482,cycleway,,,,False,False,6.348294266047183,,,,,,,"LINESTRING (2.0615928 41.2898331, 2.0616404 41.2897886)"
2209583152,2209583153,0,273924482,cycleway,,,,False,True,4.775794903484431,,,,,,,"LINESTRING (2.0615928 41.2898331, 2.0615538 41.2898645)"
2209583153,2209583152,0,273924482,cycleway,,,,False,False,4.775794903484431,,,,,,,"LINESTRING (2.0615538 41.2898645, 2.0615928 41.2898331)"
2209583153,2209583155,0,273924482,cycleway,,,,False,True,7.429862275081694,,,,,,,"LINESTRING (2.0615538 41.2898645, 2.0614888 41.2899101)"
2209583155,2209583153,0,273924482,cycleway,,,,False,False,7.429862275081694,,,,,,,"LINESTRING (2.0614888 41.2899101, 2.0615538 41.2898645)"
2209583155,2209583176,0,273924482,cycleway,,,,False,True,33.26026558064032,,,,,,,"LINESTRING (2.0614888 41.2899101, 2.0611619 41.2900808)"
2209583176,2209583155,0,273924482,cycleway,,,,False,False,33.26026558064032,,,,,,,"LINESTRING (2.0611619 41.2900808, 2.0614888 41.2899101)"
2209583176,7203925276,0,273924482,cycleway,,,,False,True,12.028206528808617,,,,,,,"LINESTRING (2.0611619 41.2900808, 2.0610422 41.2901409)"
2216908689,7788127166,0,210931266,cycleway,,,,False,False,2.117322188155695,,,,,,,"LINESTRING (2.0555017 41.2914954, 2.0555231 41.2914852)"
2216908689,10170339152,0,210931266,cycleway,,,,False,True,1.0219602327957173,,,,,,,"LINESTRING (2.0555017 41.2914954, 2.0554919 41.2915009)"
2216908724,2216977275,0,1111647379,cycleway,,,,False,False,1.801657484004376,,,,,,,"LINESTRING (2.0553676 41.2915775, 2.0553789 41.2915637)"
2216908724,2216977281,0,1111647379,cycleway,,,,False,True,4.792258317388284,,,,,,,"LINESTRING (2.0553676 41.2915775, 2.0553371 41.291614)"
2216977209,7203925276,0,273924482,cycleway,,,,False,False,16.03477232864764,,,,,,,"LINESTRING (2.0608827 41.2902211, 2.0610422 41.2901409)"
2216977209,2216977213,0,273924482,cycleway,,,,False,True,23.33125333732103,,,,,,,"LINESTRING (2.0608827 41.2902211, 2.0606556 41.2903432)"
2216977213,2216977209,0,273924482,cycleway,,,,False,False,23.33125333732103,,,,,,,"LINESTRING (2.0606556 41.2903432, 2.0608827 41.2902211)"
2216977213,2216977224,0,273924482,cycleway,,,,False,True,39.89478230021752,,,,,,,"LINESTRING (2.0606556 41.2903432, 2.0602695 41.2905543)"
2216977224,2216977213,0,273924482,cycleway,,,,False,False,39.89478230021752,,,,,,,"LINESTRING (2.0602695 41.2905543, 2.0606556 41.2903432)"
2216977224,2216977225,0,273924482,cycleway,,,,False,True,8.344817106445017,,,,,,,"LINESTRING (2.0602695 41.2905543, 2.0601966 41.2906056)"
2216977225,2216977224,0,273924482,cycleway,,,,False,False,8.344817106445017,,,,,,,"LINESTRING (2.0601966 41.2906056, 2.0602695 41.2905543)"
2216977225,2216977226,0,273924482,cycleway,,,,False,True,7.262400484398892,,,,,,,"LINESTRING (2.0601966 41.2906056, 2.060132 41.2906493)"
2216977226,2216977225,0,273924482,cycleway,,,,False,False,7.262400484398892,,,,,,,"LINESTRING (2.060132 41.2906493, 2.0601966 41.2906056)"
2216977226,2216977227,0,273924482,cycleway,,,,False,True,7.150055681876223,,,,,,,"LINESTRING (2.060132 41.2906493, 2.060071 41.2906944)"
2216977227,2216977226,0,273924482,cycleway,,,,False,False,7.150055681876223,,,,,,,"LINESTRING (2.060071 41.2906944, 2.060132 41.2906493)"
2216977227,2216977228,0,273924482,cycleway,,,,False,True,8.02493008815898,,,,,,,"LINESTRING (2.060071 41.2906944, 2.0599907 41.290734)"
2216977228,2216977227,0,273924482,cycleway,,,,False,False,8.02493008815898,,,,,,,"LINESTRING (2.0599907 41.290734, 2.060071 41.2906944)"
2216977228,2216977229,0,273924482,cycleway,,,,False,True,16.05374851485489,,,,,,,"LINESTRING (2.0599907 41.290734, 2.0598196 41.2907997)"
2216977229,2216977228,0,273924482,cycleway,,,,False,False,16.05374851485489,,,,,,,"LINESTRING (2.0598196 41.2907997, 2.0599907 41.290734)"
2216977229,2518387893,0,273924482,cycleway,,,,False,True,23.734339836451486,,,,,,,"LINESTRING (2.0598196 41.2907997, 2.0595781 41.2909121)"
2216977230,2216977231,0,934269774,cycleway,,,,False,False,18.659192128530826,,,,,,,"LINESTRING (2.0566537 41.2908354, 2.056877 41.2908383)"
2216977230,2216977233,0,934269774,cycleway,,,,False,True,21.875694671715216,,,,,,,"LINESTRING (2.0566537 41.2908354, 2.0563926 41.2908501)"
2216977231,2216977234,0,934269774,cycleway,,,,False,False,18.702651688910773,,,,,,,"LINESTRING (2.056877 41.2908383, 2.057099 41.2908599)"
2216977231,2216977230,0,934269774,cycleway,,,,False,True,18.659192128530826,,,,,,,"LINESTRING (2.056877 41.2908383, 2.0566537 41.2908354)"
